"category";"role";"description"
"main";"Father";"A male parent who loves, guides, and supports his children"
"main";"Mother";"A female parent who nurtures and cares for her children"
"main";"Parents";"The people who raise, protect, and support a child"
"Second marriage";"Stepmother";"A woman who lovingly joins a family through marriage and cares for her stepchildren"
"Second marriage";"Stepfather";"A man who lovingly joins a family through marriage and supports his stepchildren"
"main";"Child";"A son or daughter, someone who is loved and cherished"
"main";"Son";"A male child, full of potential and joy"
"main";"Daughter";"A female child, bringing love and warmth"
"main";"Sibling";"A brother or sister, sharing life, memories, and support"
"main";"Brother";"A male sibling, a friend and companion in life"
"main";"Sister";"A female sibling, a friend and companion in life"
"main";"Half-brother";"A brother who shares only one parent with you, still part of the family bond"
"main";"Half-sister";"A sister who shares only one parent with you, still part of the family bond"
"Second marriage";"Stepbrother";"A brother who joins the family through marriage, a new friend in life"
"Second marriage";"Stepsister";"A sister who joins the family through marriage, a new friend in life"
"main";"Grandfather";"A father of your parent, full of wisdom, stories, and warmth"
"main";"Grandmother";"A mother of your parent, full of love, care, and nurturing"
"main";"Grandparents";"The older generation who share wisdom, hugs, and family history"
"main";"Great-grandfather";"A grandfather of your parent, a bridge to family history"
"main";"Great-grandmother";"A grandmother of your parent, full of love and memories"
"main";"Uncle";"A parent's brother, often fun, caring, and supportive"
"main";"Aunt";"A parent's sister, caring, loving, and sometimes a bit mischievous"
"main";"Cousin";"A child of your aunt or uncle, a friend and part of your extended family"
"main";"Niece";"A daughter of your sibling, someone to love, guide, and support"
"main";"Nephew";"A son of your sibling, someone to love, guide, and support"
"Second marriage";"Stepchild";"A child who becomes part of a family through marriage, loved and welcomed"
"Partner family";"Father-in-law";"The father of your spouse, part of your extended family"
"Partner family";"Mother-in-law";"The mother of your spouse, part of your extended family"
"Partner family";"Son-in-law";"A man married to your daughter, joining your family with care"
"Partner family";"Daughter-in-law";"A woman married to your son, joining your family with warmth"
"Partner family";"Brother-in-law";"Your spouse’s brother or your sibling’s husband, a family ally"
"Partner family";"Sister-in-law";"Your spouse’s sister or your sibling’s wife, a supportive family member"
"Second marriage";"Step-grandparent";"A grandparent who joins the family through marriage, adding love and guidance"
"main";"Half-niece";"A niece who shares only one parent with your sibling"
"main";"Half-nephew";"A nephew who shares only one parent with your sibling"
"main";"Nibling";"A general term for nieces and nephews, young family members to cherish"
"main";"Godparent";"Someone chosen to guide and support a child in life, often with love and care"
"main";"Godchild";"A child who is loved and guided by their godparent"
